,filename,style,in_train,who
0,59792.jpg,Renaissance,True,Kayvon
1,82352.jpg,Renaissance,True,Kayvon
2,16876.jpg,Renaissance,True,Kayvon
3,28908.jpg,Realism,True,Kayvon
4,28363.jpg,Baroque,True,Kayvon
5,70728.jpg,Baroque,True,Kayvon
6,2984.jpg,Renaissance,False,Kayvon
7,15715.jpg,Renaissance,False,Kayvon
8,59486.jpg,Baroque,True,Kayvon
9,77921.jpg,Renaissance,True,Kayvon
10,57581.jpg,Renaissance,True,Kayvon
11,65895.jpg,Renaissance,False,Kayvon
12,47203.jpg,Renaissance,True,Kayvon
13,90044.jpg,Baroque,True,Kayvon
14,7071.jpg,Baroque,True,Kayvon
15,5194.jpg,Renaissance,True,Kayvon
16,17354.jpg,Post-Impressionism,True,Kayvon
17,41541.jpg,Art Nouveau (Modern),True,Kayvon
18,55537.jpg,Renaissance,True,Kayvon
19,633.jpg,Realism,True,Kayvon
20,840.jpg,Renaissance,True,Kayvon
21,50097.jpg,Renaissance,True,Kayvon
22,13689.jpg,Renaissance,True,Kayvon
23,71560.jpg,Art Nouveau (Modern),True,Kayvon
24,42784.jpg,Art Nouveau (Modern),True,Kayvon
25,5569.jpg,Art Nouveau (Modern),True,Kayvon
26,59919.jpg,Art Nouveau (Modern),True,Kayvon
27,54395.jpg,Art Nouveau (Modern),False,Kayvon
28,10709.jpg,Art Nouveau (Modern),True,Kayvon
29,31234.jpg,Expressionism,True,Kayvon
30,97081.jpg,Art Nouveau (Modern),True,Kayvon
31,24597.jpg,Art Nouveau (Modern),False,Kayvon
32,73181.jpg,Art Nouveau (Modern),True,Kayvon
33,45778.jpg,Art Nouveau (Modern),False,Kayvon
34,29616.jpg,Impressionism,False,Kayvon
35,96174.jpg,Art Nouveau (Modern),True,Kayvon
36,13595.jpg,Art Nouveau (Modern),False,Kayvon
37,820.jpg,Renaissance,True,Kayvon
38,19834.jpg,Realism,True,Kayvon
39,40672.jpg,Baroque,True,Kayvon
40,92287.jpg,Baroque,False,Kayvon
41,45276.jpg,Realism,True,Kayvon
42,21113.jpg,Art Nouveau (Modern),True,Kayvon
43,88434.jpg,Art Nouveau (Modern),True,Kayvon
44,80938.jpg,Realism,True,Kayvon
45,26065.jpg,Renaissance,True,Kayvon
